transcript,summary
"And models are so basically, so you're going to have more and more data and less, less development, right? Eventually the data they're actually going to help you to do this whole setup. You wouldn't really need developers to build a new thing because. ","If data is more it leads to less development, data is going to help you to do this whole setup."
Yeah. Yeah. I can just jump to the next slide. ,I can skip this slide.
"Okay,  Let's break that out for a smaller discussion, that architectural patterns with like a male deep Ted others like that. Um, well just because we've got a mix here, could you, uh, quickly flip to the, um, the, uh, the vendor feedback that we've got? Is there just high level? Cause we've got several folks here that are involved with that, but we're going to be providing, uh, so, um, we owe feedback to, uh, Shane and, um, um, Sheba. So we're going to be sharing this feedback, but, um, I've been going through the documentation. Do you want to touch a bit on just maybe a couple of quick highlights or summary points that you're seeing? Anything that might be a creative in the discussion, um, from different. ",We're going to sharing vendor feedback that we've got. Share a couple of summary points that might be a creative in the discussion from different. 
Keyboards because people kill keyboards.  Boom. ,Because people kill keyboards.
With that we'll wrap there. Thanks. Thanks. ,We'll wrap.Thanks.
"What's the question, you know, that of course is from who. ",What's the question and from whom?.
"About, you know, thousand pounds what's mature. What kinds of use case problems are that are going to be really helpful because that's going to drive the development of this platform. Right? Um, you know, Mac, the, the original Mac computer was driven by the need to do desktop publishing, right. It wasn't solving the world. ",What kind of use case problem can be really helpful for driving the development of this platform?.
"Yeah. So I think, let me interject out that I think what we need to do is basically, as we talk about the, the program structure and everything, Raj already has a team he's working with niche. I saw a new gel kit right near neutral somewhere. So we already have a team which is working on Cox scale technologies and we have a knowledge transfer transition as well as, uh, education and training going on. What we need to make sure is that extended team in legato, which he's already doing and make sure that we have a connection out there because the technology isn't the same. And we need to make sure that we, we use that. ","Raj has a team and he is working with niche. We already have a team which is working on Cox scale technologies. Knowledge Transfer, and Education and training is going on. We need to make sure we have a connection out there with the extended team in Legato."
"how much he will be joining these sessions, But Anuj is here. Hi Anuj.",How much is Anuj going to join the sessions?
"Hey, John, this is Neil. So help me understand. One thing is, uh, when we define these campaigns and everything, right, uh, to measure a campaign, which is a $2 five out here and everything, uh, is that, uh, from a dollar active, what does it take in a create campaign to make sure that the KPIs and everything and define how do we, is that part of the tutorial and everything in terms of, you know, some cases, the business value or what you're trying to measure at the end of the day after you find your match. ","Measuring campaign is a 2$ five out of here and everything from a dollar active.To create campaign and make sure that KPI's and everything define how do we, is the part of tutorial?"
"Which is using workers as a platform talk scale, you know, being there from a, from a AI engine perspective and developing and addressing our use case, which is solving a business problem. And the first could be a little bit more complex use case could be BI, could be anything else out there which, which they're solving for, right?  Yeah. Yeah. ","A basic use case which is using workers as a platform talk scale, being there from a AI engine perspective, developing, addressing our use case."
"So let's just start with Avinash. So, anyways, as of now we are following this particular table. But once the Scrum and everything is done, then we will be following the exact scrum rules. ","Once the Scrum is done, we will follow scrum and tasks will be done according to sprint planning. Avijit and Avinash both would be working on Speaker Diarization, spell checker and summary cleanup"
We're more on the data and the model and the API. ,"Number is more focused on the data,model and API."
I will be giving you the KT at 3.30 but still ,Himanshu will give KT to Avijit at 3.30
And then the tools and everything that they can do. So I think we should. ,They can do tools and everything.
"Where Ray is, um, 2050, two days from now and, uh, GA for that as a year. So to me, the question, right, we now know what the answer is. The question is that I want to, in the beginning, the answer today is what is the right use case that meets these dates, right? Because if we pick the wrong one, we're going to blow it, right? We're trying, if we're, if we're constraining the problem to be on a tight deadline, to be very focused, to bring what resources we can, the knowledge we can learn and whatnot. But if we pick the wrong problem, we're going to be, you know, way off. Right. And people do live in a fantasy and maybe living in a fantasy world, no matter what, but, but with the right, my hypothesis is, is that with the right? If we slept the right criteria and the right date, then we can achieve this. And so what is it. ",What is the right use case that meets this dates?.
"Yeah. So, so can you make a quick statement, your luxury? So I think one that is completely what is definitely an ideal flow Porsche. Um, we, we definitely have to draw this. I'm almost thinking like a snowman diagram going through the, each of the components, but I'm almost thinking that, you know, for a simple, hello word developer, we probably are most happy to make it in. I'm using the Martha Stewart analogy. You're right. Some of those piece parts are already baked into it. The developer is going to use basically, for example, a catalog or a marketplace to search for an existing API and wiped away. Right. So you'd say it's a very controlled example for a hello word, wherever you zoom back out, you will basically have a flow saying this is the small example, but think of this in the context of a larger application. Right? So that's one way of thinking through how we want to scale this. ","Snowman diagram going through each of the components.A simple hello world developer are most happy ot make it. The developer is  going to use basically, for example a catalog or a marketplace to search for an existing API and wiped away."
"That there's two classes of data here. Um, the training data. ","There are two classes of data, training data."
"Are you on mute? Hello? I'm sorry, what was quick? ",You are on mute.
What the hell did you guys do to hello? World's coasts. ,What u did with hello?
"Closely with, uh, with what I'm thinking. Yeah. ",What I'm thiniking.
and pen that would be a little faster because this MOM is not for like general MOM's which we upload in confluence. This is for the model training., This MOM is for model training.
"I think you summed it, I'd say as a. ", I'd say you summed it. 
"Uh, if I, uh, um, uh, Fredrick, you know, before you go here, right? So how should I know, I think that's, that's a good question. You know, what I'll do is probably next week, I'll try to bring the, bring out, uh, um, holistic diagram of how these things happen. The way doc, you look at it, right? You asked the right question. Others two parts. Yes. There are 2% that's right. So one person is, is the, um, is the, to me, you know, who is actually trying to create, uh, uh, the campaign, right? So once, once you request a campaign and once you start creating the campaign, there are multiple pieces that needs to be put together, right? One is the, um, the, the orange box out there on the cortex side, where you need to have all these, um, you know, clustered data and the insights and all those, uh, companies that we need to build at the same time, they are also dependent on, on, on the plumbing pieces, right?  The API has the fleet to get from, and the learning model that we need to take from, you know, Steve's team and the APS and all that. So I guess the, the way that we look at it and try to, you know, keep me honest here, right? So, so areas and some automation plays where all these pieces will be automated on the developer. The diff the other persona, a developer will be able to start, okay. You know, here are my multiple components that I might need, or here are the plant plumbing competence that I need to get the guest member data API or from, from cortex. Right? So once there is one that is, you know, that's the local thing that we are talking about, right. Needing those components together, and that's available for the developer. And then, you know, they can build on top of, so th th that does give it a high level of what we're looking at. I mean, these two are different pieces, but I think once the, once the company is requested in one spot, identify what are needed. The developer will have the, uh, should have the capability on the developers here to knit together and say, Hey, I need these APIs. And these templates are in rebuilding to my, my overall big picture. It doesn't make sense. ","I'll try to bring out holistic diagram of how these things happen ,once you request and start creating the campaign, there are multiple pieces that needs to be put together. One is the orange box out there on the cortex side, where you need to have all these clustered data and the insights. Here are my multiple components that I might need, or here are the plant plumbing competence that I need to get the guest member data API or from, from cortex and that's available for the developer ."
Now that spec for that would be super interesting just for an offline conversation for. ,For offline conversation spec would be super interesting.
"Just to frame, uh, an extent what, uh, started with the set. Right? So, uh, future of work, uh, AKA project that I for us has, um, kind of three main components defining the future of work itself, uh, for ally. And, uh, we'll double click into that today would work less, uh, redefining the future of our workforce. I E uh, what is the composition of the U S workforce? What should we be focused on here and then our international workforce and what core competencies and capabilities do they need to have, and, you know, how do we sort of, uh, transition to that? And then as a consequence, uh, what should be the future of our, uh, you know, workplace, uh, our facilities, uh, the digital, uh, and. ","Future of Work has three main components. Composition of workforce, core competencies and capabilities of workforce, and transition of workforce. As a consequence, future of the workplace in terms of facilities."
"What you stated in there? Um, work was going. ",What you stated there?
"That does not tie the value of those to this. I, I think that's it. ",That does not tie the value of those to this.
I'm impressed by the COVID office work space where everybody's in. ,I'm impressed by the COVID office work space.
"Blah, blah information. Right? And it's like, you know, ","Information ,Right?."
"John just real quick here. There's some good, quite DP. DP just asked a question about, uh, language and skillsets. Um, so do you have like, um, any sort of, what kind of, uh, like language background are you looking for for either of these, uh, uh, these. ",DP asked question about language background and skillsets required.
"These, these panels have functionality to have really strict. ",These panels have functionality to have strict. 
"Productivity tooling. Okay.  And those aspects of things, because. ",Productivity tooling and those aspects of things. 
"In the streets, both in artificial intelligence and programming model that we want.  That is mostly, that is where  There was strong readiness in our team for integration.  So those are some of the criteria. Do we have other criteria that we can think of that will help  Drive the use case selection, um, uh, fall into her, you know, one of these candles. ",Both in artificial intelligence and Programming model that we want there is strong readiness from our team for integration.Are there any other criteria like this for use case selection?.
You are the fourth guy or the third guy?,Himanshu asked whether Dhanuj is the fourth or the third guy.
"Okay, sorry, I'm using a new microphone and it's acting up. ",Microphone is not working properly.
"Yeah. And, uh, so let's catch up. Uh, maybe if this ends early for a few minutes on that. A separate conversation with Gail. Gail about the board or the QBR smarty. ",Lets catchup if the meeting ends early and have conversation with Gail about QBR
So strong in me today. So that's all I can say. ,I am feeling strong
"I don't know if claims I'm seeing, I want to be able to do. ",I won't be able to do claims.
"Yeah. So the important thing here is the John luck. Uh, what, uh, Frederick said, does that make sense to you guys? ","Luck is important thing here,but it doesn't make sense."
"Well, let me give you the work. So I guess today it's your turn to take the minutes of meeting",Today it's Anuj's turn to take the minutes of meeting
"No, but for example, if get weather. ",For example
"Yeah, I would say that. I think that's a, that's a, that's a very fine way to cut it because one is basically the visualization of, of the results and otherwise the core of there, the way I look at it, that these are your initially, um, acceptance, uh, you know, unit acceptance folks, basically who are crying. ",The visualization of the results or the core are initial unit acceptance things. 
Don't build that outbreak now. Right? ,Don’t build the outbreak.
"Terrific. How often do I call you to say, if he quit, what tables contain the blah blah information. Right. And it's like, you know, if he doesn't know that he needs the wizard who does right. But if you don't. ","How often should I inform you ,what table has information when he quits and even if he doesn’t know when he needs the right wizard."
That's out the developer productivity. ,That's out the developer productivity.
They're more focused on work-wise then we'll be the best. ,If we are more focused work wise then we will be best.
"All possible, uh, interactions for all possible things. Right. You know? Yeah. ",Interactions are possible for all things.
"Yeah,  Yeah. Ted the foresight, right. For the ML Ops. Uh, I think it would be good to pull in, uh, Steve Aggie and wagon company as well. Right. Cause they've got the whole Matt, Matt in the toolkit that we need to integrate into those too.  Yep. ",I think it is acceptable to pull in Steve Aggie and wagon company for the foresight of ML Ops.
"Yeah, that needs to be bulk imported. Uh, N uh, so just as we are with, uh, cognitive claims, uh, that, uh, Sean's team is built. There's a training dataset that is used to, uh, to teach a model. And then there is the performance of the system, uh, to actually do claim edits and such. And for that, we will need to create an API to CSCW or Edward, and that does not exist yet today. Put deep is going to look at that. Uh, I don't know if you've had a chance to explore that in the last hour. ","Training data needs to be large to teach a model. For performance of the system to do claim edits, create an API to CSCW or Edward or which does not exist yet."
"This mission to find a governor campaign, to find I'm going to go launches. And before. ","Mission is to find a governer campaign, am going to launch this."
"Right. No, that's right. Yeah.  And I think that's what Rajeev's comment was also that eventually templates also show up as assets in the marketplace, just like data. ",Rajeev also comment also that eventually templates to show assets  in marketplace.
"Yeah, I think the goal is to be for local developers, right? ",Goal is for local developers.
"IOS, which is a near descendant of, it was, you know, 30 years in the future. Right. Um, and, uh, you know, so, so, so really we're going to look, we need to identify something that is, um, you know, a good bite, not a toy, right. And in many ways, you know, the call center agents. ",We really need to identify something that is useful.
"At minute at 44th second open-ended questions. One minute, 10 seconds. Just talking about funnel six minutes of just talking about building a growth team. So this is the topics that we are extracting. So that's the task of divesh and hrisheek, and this is the task of Bhanu and anuj which is you can see tasks, pricing, metrics, obviously we don't have pricing metrics, but we do have tasks. so in tasks we have discussion and actions. We have questions, we have dates and times that are extracted then there are negative and positive sentiments. So if you click on this it will be telling who on which paragraph we have negative talks, on which paragraph we have positive talks and like that. So whatever is feasible based on the two transcripts, you guys have to start doing that and make a model out of that. So that will finish, that.","In tasks discussion and actions, questions, dates and times, negative and positive sentiments. Make a model."
"I think we need to pick, uh, put a mix of use cases out there from a workOs perspective, right? It's not. AI developer platform, it's Anthem developer platform which would be focused on AI,machine learning. It could be focused on really web applications or core java applications and everything. I think we need to make sure that we, as a broader definition around it and the use case mix right now is very heavy on AI, which is fine. I think we can book two or three use cases which are around AI. I focused on cortex as a, as a core engine, but also we need to make sure that we are leaving space for some other use cases, which will be good to have in the repository and make sure that we can execute on those because a large population of developers right now is not using the AI tools. And we need to make sure that we are the bridging the gap for them also while providing workOS as a platform to speed up development and everything. So I think we need to broaden this. I know you've mentioned at the beginning. So as predicted and team work together on this one, I just want to make sure that we can, we can. ","I think use case mix right now is very heavy on AI,focused on cortex as a core engine and we have to ensure that we are leaving space for some other use cases because huge populace of designers presently isn't utilizing the AI tools.We need to bridge the gap for them by providing WorkOS as a platform."
"Sure. Okay. Are you able to see my, my slides? Perfect. Um, ",It's perfect you are able to see my slides.
Orchestrated composes applications. So. ,That can orchestrated composes applications.
"Uh, I would imagine that people aren't really productive until, uh, as an engineer at Anthem, uh, without, you know, many months of training, is it fun to do three months? You know, of course it depends upon where they were before, but since the goal really is to be able to pull people in in two weeks time, really, and such, now we're talking something where we can actually have gig workers come in.  And so now we're approaching this as a API, as an operating system that we can train people up. We can essentially give them a set of classes, online videos and such, and they don't have to ask too many people's questions about what they're trying to get done, right. That we are trying to distill it down into a very sharp, very small surface area of new thing of individual projects to learn. So if you imagine, what does it mean to train a hundred thousand people to be functional in the Anthem to government process? It means that we have to have fixed interfaces, fix gooeys videos, help sessions, and so on. And so now it really becomes something like what it means today to program for AWS or, um, uh, or, or MCO is Stan or, or anything, or, or Android systems where you are trained in this environment.  And then the specifics of the task and the job you're going to do is going to be, um, uh, you know, specific to given systems and section. So, so that means stepping up the normalization of what doing to a much higher level. And that is more like essentially what, what we developed an Apple in creating an operating system. And that's another reason why we call it in a West, right? It's not, not just simply a set of platforms and such, but it is a set of tools. So I wanted to, there's a lot of detail behind each of these boxes and I'll get to that in a minute, but I wanted to essentially say that top there in the green world are all of our current interaction systems, right? It's Sydney, there's PCMs, uh, there's the claim systems. There's a huge amount of surface area there. ","The goal is to pull and train people in two weeks. We can help new resources by fixing interfaces, fixing gooey videos, having help sesions, and so on. "
"Sharon for a brief moment. Okay.  So, well, while, while you do that, Frederick let's, let's go ahead and pivot to John just for the sake of time. Um, and then we can come back. So, um, John, what I want to do is I want to flip to you now for the personas conversation in the worker, less, um, discussion to the developer panel, um, for X wing and force. Can you take over and let's, let's walk through that. ","John can you take over now for the personas conversation in the worker, less discussion to the developer panel for X wing and force."
"Uh, present. Do we have, um, how to use Skype? Put it in the chart as well? I think that are useful uses fairly. I'd say, um, then they'll talk about use cases from the business that you have kind of a backlog, right. That you could probably share with them. ",Putting information in chart will explain use case from the businees that you have in the backlog.
Look at each sentences and see what kind of topics. ,Look at each sentence and see what kind of topics.
"Yeah,  But you play all three, so you could probably do it by yourself. ",you can do it by yourself.
" And underneath that is, this process is this middle layer here of IDE frameworks, interactive environment and frameworks for programming that there's some dev op process. There's an execution platform that is going to perform and run these applications. And then you can see below that, or our good friends from cognitive scale and their hard work and creating cortex studio and cortex fabric. And so these systems are essentially one of the most important new ingredients as part of what we're talking about here. And the idea here is that we're building on the frameworks to enable, uh, this, this is essentially serving as this amazing springboard to pull together a lot of different ideas and tools and utility to make something happen. And we're also depending upon them with their ability to create the training videos and training and, and such. So there's a lot of good things in our partnership with cognitive skills underneath that is, um, uh, uh, this other new layer on that we're getting from, uh, doc AI called ACS sometimes in Cornell.  And that builds on, on red hat Coobernetti's and cloud based infrastructures that we are, um, uh, putting in place. So, um, we'll talk more in detail about that as well. And then that, of course is the Anthem data Lake now, um, you know, many pieces of information are missing from this environment. And that's because I really tried to simplify this down to the, you know, the, uh, uh, uh, you know, Gale level, uh, essentially of what we're doing. So all of the infrastructure of the Anthem, uh, developer, uh, platform, um, all of that, that work that feeds into this in systems, and that's critically important to make this happen in greater level of detail. Right. Um, what we're talking about here is, um, you know, a buzzword soup almost of, you know, having these development kit. Um, I like the star Wars theme a lot.  I quote, you know, so I'd love for the IDE to, for example, to be called the X, Y was essentially wants something that feels like you are in command of this amazingly light, uh, fighter. That's very agile, that's able to, uh, take and, and a developer feels very empowered by it. And so what we'll talk about what that means in detail about the interaction. Um, but you'll see here that we have, of course, the, uh, just the numerous frameworks and componentry that we have available to us in develop a kit. Then on the right-hand side, we have which API APIs and developer platforms then, you know, the next level down is you'll see, there is the cortex studio and the fabric to the left-hand side of the screen. Uh, there is this idea of having a marketplace components that people third-party people can develop for us.  And we can incorporate in, um, on the top of there is, you know, visualizations reporting systems and UI layers that you spoke about on the right hand side is this is a rich set of additional storage systems that are added on top of existing Anthem data Lake and fire storage. And one of the things of course we want to take advantage of are important new initiatives, such as snowflake. So sorry about this slide, it's kind of confusing and a lot of details associated with it, but I wanted to make sure, you know, people feel somewhat oriented that this is, you know, what we're building here is not an entirely new world is a world that needs to fit into and on top of the Anthem infrastructure, but brings in place a lot of machine learning in artificial intelligence, uh, uh, structures in place.  Um, I think a  Very core part of what we're talking about here is to extend today's Anthem developer platform. ",Creation of Cortex studio and cortex fabric which provides interactive environments and framework for programming. Cognitive scale will train and provide training videos. 
Eventually we won't need any more that.,We don't need much.
"Cool. So at 3.30 I am meeting with Shilpa and Shravanti. So, at the same time you can also join",Avijit can join the 3.30 meeting with Shilpa and Shravanti
"Yeah. I think the reason why I was asking lectures that if in case we are building a new use case tomorrow, whether it's around their sexual orientation or different, uh, I would have picked that to be developed under workforce. So that's what my question was that, Hey, will it, will it have a transferability out there or not? We can take that discussion offline. I think that's different. I think we need to make sure that the compatibility between the two and what difference does it make? We need to be cognizant of that. So we may want to have five and six out there so that. ","If a new use case is built, whether around their sexual orientation or other, that should be developed under workforce. we need to be aware of compatibility between the two and know the difference it makes."
"Since, thanks, Neil. Thanks for the, but the, I think the confusion part that I'm having is on the orange box. Right? I get the developer portal box of, you know, you have an API, you're going to create a restful API. As you have the data, you get it, you pick the API connection out, but the code is, for example, if get weather function is not available, where do you go create those, those, is it part of the ads or is it part of the cortex that you've got? You could go. ","The confusion part I am having is orange box.I get the developer portal box you are going to create a restful API.You have the data get it and pick API connection out. If function is not available,where do you create those and it is  part of the ads or cortex?"
"Um, and as part of this contract, right? How do we actually source some of the knowledge, uh, is that all through buggy? I mean that I raised this last week as well. What are the things. ",Do we insource all of the knowledge through buggy? I raised it last week as well.
"Yep. Manoj. Uh, so I think, I think harsher to answer your question, I think it could be two P two personnel also, or it could be, uh, uh, API developer, um, working with, uh, us, me, uh, creating a campaign, which they are working on. Um, and that's the ease of use and, and, uh, adoption that we want to drive out there. Right. Uh, low code adoption of, of AI within the enterprise and everything. Right. But, but to your point, it, it is possible that hopefully we will have most APS available already for enterprise usage perspective, but it is possible that there are two different developers, one making the API available, the other consuming, and as part of the cortex, uh, you know, as an AI developer  Construct out there. Uh, so I would say  That it could be both, it could be one developer also, or it could be two different people engaging to achieve the same campaign result. Yeah. ","It could be an API developer am working with creating campaign  and low code adoption of AI within enterprise and everything.but it is possible that there are two different developers, one making the API available, the other consuming, and as part of the cortex, an AI developer Construct out there. I would say  That it could be both, it could be one developer also, or it could be two different people engaging to achieve the same campaign result."
"Most of those cases are ones which we will attack. And the initial one, which Bobby and team will kind of work with , but I don't know. ","We will work on most of the uses cases, including the one in which Bobby and the team worked initially."
Anuj leaves the team and we don't have any replacement. ,Anuj leaves the team and we don't have any replacements.
"Is around our computing services and, uh, the work that we're doing with an initiative called Anthem, uh, can be a service or ACS, uh, ",Reimagining computing services will be called as ACS
"So if you guys don't have any questions, then we can conclude this call. So I think we don't have any questions so far. ",We don't have any questions so far.
"First of all, I want to thank everyone and appreciate, you know, I want to celebrate. ",I want to thank and appreciate everyone.
It's rated number one and number five. ,Rated number one .
I've sent to you. There might be some notes. ,I have sent you some notes.
Anyone saying anything. Okay.  So once the summary. ,So once the summary.
"A hundred, 500 for defining these agents. ",500 for defining these ages.
"Right. So, so this is just showing, you know,  We support multiple ways of being able to stream data. It's not just text, but it's binary as well. Audio is one of them. Um, but the other is right, because now that we add document classification as a skill, right, we can upload the image directly on the claim that I'm really asking question about. And based off of the results that it's coming back with, you know, we're getting much better on being able to start to extract out the entities and relate back to the answer that I want. So the point here, right, is that, you know, in three really easy steps, we started off with the saying, you know, what claim are you referring to? So that really get into an answer for that one. And the thing that I just want to point out is these skills, these atomic functions, these algorithms, right? These aren't rappers to your existing models, your 500, 600 models that are in your prediction marketplace are easily accessible as a skill, all of the data, right. That's being produced. ","We support multiple ways of being able to stream data  not just text but it's binary as well. Audio is one of them. Um, but the other is right, because now that we add document classification as a skill we can upload the image directly on the claim that I'm really asking question about. And based off of the results that it's coming back with, we're getting much better on being able to start to extract out the entities and relate back to the answer that I want."
"Okay. So, um, we have a quorum. Yup. You just showed us the answer. They showed you the answer. Yes. 42. That's the answer. ",42.That's the answer.
"Um, especially where things are at right now, we're really trying to get things going, um, on this user experience. Um, I think having a better understanding on ads and the upper bottle store, um, ACS as all the things that we talked about, right? All of this will help inform kind of hers to have that conceptual component diagram, um, which we want to be able to iterate on and kind of come back with a much more robust view for next week. Um, being able to help at least sign off on what we are, what we're all aiming towards for this, um, overall developer training, the scope as a tail. And then, um, as, as Frederick mentioned, I think earlier, you know, we're in the process right now, uh, um, working with the Anthem AI dev ops team on their sandbox environment. So keeping that work going, so then we can use that, um, you know, or. ","We have a better understanding on ads and upper bottle of store.All of this will help inform users to havea conceptual component diagram. Earlier we are in the process right now, working with Anthem AI devops team and their sandbox environment keep the work going, we can use that."
"How does all that work. Yeah.  Yeah, exactly. So, so, you know, when you're, when you're creating that campaign, right, that should be tied to some business objective or business outcome, which will then be tied back to our, we're able to measure those outcomes uniformly. Now this is all going to be brought into again, what is that real experience gonna look like? Um, as we, as we do this with Argo, and one other thing, I think that why it's incredibly important that we establish, you know, the developer panel route is that while we're working through this, Nope, these are the people that are really going to be using these IDs. So it's imperative. ","When we create a campaign wwe should tied to some business objective or outcome,which will be tied back to us and able to measure those outcomes uniformly."
"Little, do a little bit of a shaping of two use case, right? The MVP as such. ",Little bit of shaping of the use case to be done.
"Yeah. So, uh, that, that, that, you know, uh, just in terms of agenda real quick, and then we'll pop you Bobby, uh, essentially what's happened last time, talking about this topic on, then focusing in, on some of the technologies. Um, we had Frederick begin talking last on some of the deeps issues and such, and then John, um, and Sean Connealy is on if you made it. We'd love to hear a little bit by January 19. Yes. And then talk about project structure, component owners, and so on that we need to address. Um, but, but you know, there's a lot of this there's so much here. Right. And I feel like, um, uh, we must, if we're going to hit the state, we must have a deadline that we have our use case. And so I think that, that, you know, I'm gonna, uh, I'm going to put, put arbitrarily down this time next week. We, we, we, we pick a use case, right? We can't, we can't go, we can't go very far in this, in the cycle without that. Yeah. ","We'd love to hear an update by january 19.If we are going to hit a state, we need a deadline for our use case arbitarily iam picking up this time is next week."
"And refinement on the thinking there. So I'm going to actually hand it over to Jean. Um, I'll admit that, uh, the concept of jam sessions is I'm I'm, I'm evolving myself for the future of works. ",Concept of JAM session is for Future of Work
"The initiation of that project. So, um, so I, so I have a lot of experience in this particular space and my hope is to be able to bring that experience and have helped make sure that the. ",I have a lot of experience in this space and I hope I will make it helpful here.
"Or a Skywalker or for re really is the question. I, I personally think that we should probably try to do a small bite for Scott. ",for a Skywalker or try to do a small bite for Scott.
"Well, we will make sure it happens. Yes. ",It will happen.
Great. Wow. Great work everybody. Thank you. Okay. Talk with you all again soon. Have a great evening. Bye bye. ,We will talk again soon. Bye
"You're right. And I think, and I think we should just make sure that that becomes part of the overall process that we fall out here, because that way we already have looked through the Kings. We exactly know what we need to do, and basically make that as the part, which is, which is running and training our new associates. ",Running and training new associates becomes part of the overall process.
"I, uh, buy identities that are, that are cryptographically tied to that. So hopefully we can make some of that easier.  I agree. And I think, I think in the, in the area's construct and everything, do we put a big, big box around it, which is basically inclusive of both that makes it easier from a control perspective. I think we should look at that option also because if we want to make sure that there's, there's a, there's a control aspect in terms of how a developer comes across different platforms and everything, how they have access and everything. That's something that probably we should look at, but anyway, ","Hopefully it make some of that easier in the area's construct and everything.We put a big box around it, which makes it easier from a control perspective. We make sure that a control aspect in terms how a developer comes across different platforms and everything."
"I think there's one other things see on just kind of help enhance the experience and the development. Um, and that's nearly kind of where we're, we're kind of taking a shift and how we're looking at this, and that's being a lot more bold driven where you can look at things on how you could construct a mission, um, around things like intends to the ER, um, and look at ways of saying, well, my goal could be, I want to keep Suzanne Miller out of the ER, or I want to keep these individuals, you know, out of the ER, in a much more higher level. Now I'm not saying that we've thought through all the intricacies of that. Um, but you know, that's where the work is really gone over partner or go on what is that experience? And then from there, can we simplify the overall like development life cycle, uh, to solve for something like the year or at least to be able to be able to operationalize and measure the impact and then be able to help, uh, capture the words, not necessarily help with the model of development. Um, I'm happy to walk through with you.  Yes.  All right. So let's, so maybe we can go to the next slide because I think what we're, what we're showing here is at least a very basic level of our vision of power, you know, looking at constructing these, this, you know, hello world, uh, training portal. And I think, you know, a really good analogy that we can, we get, you know, very basic to what your calming universities are. Um, you know, across the States where let's say we have university of Texas, the equivalent, um, you know, really work on less. I do. How do you enable your students to be part of this work university or work in is kind of a school within the university itself, um, which is all around kind of, you know, skydiver, which is cortex V6 in this case. And we're kind of carving out that discipline and, um, you know, taking a point of view on how we can enable, you know, developers, you know, as that school. Um, so, you know, based off of what we outlined really around this hello world, um, we're starting to separate it out and I'm just curious florals, um, where developers will be this kind of a self-serve based. Um, but it all really stems from, you know, how are we able to start to create these campaigns, which as I mentioned, this is goal driven, um, approach. Um, and in the simplest terms, you can think of doing this from a. ","I think see on just kind of help enhance the experience and the development we're kind of taking a shift and how we're looking at this and that's being a lot more bold driven where you can look at things on how you could construct a mission can we simplify the overall like development life cycle with the model of development. we starting to seperate out hello world programers and good programers ,then we starta campaign as i mentioned in the goal driven."
"Data and the model and the API level number five had Because typically in our experience, ","Number is more focused on the data,model and API."
Different ideas. That business partner. Yeah. ,Different ideas. That business partner. Yeah. 
"Yeah. So, so the X, the X wing developer is the one that, or the group of people that would be developed in these fairly complex applications on work LS. Um, which I think. ",X wing developer is one or a group of people that would be developed in the applications on workOS.
"Join an appointment, or being able to provide a reminder to an appointment, nothing super complex about it. Uh, but at least provide some, you know, very intuitive ways of how we're able to integrate across know the systems that are making God. Uh, excellent. Um, so the tutorials are broken up from crank campaigns being able to add missions or think of these as, um, you know, very atomic functions or we call them or text agents or templates, right. That are there to execute on top of that campaign. Uh, tutorial three is all around how you're able to test, right how well your, your campaign was constructed. Um, whether through things more traditional software engineers are familiar with UAT, but also you think of being able to run this through like simulations being in the role in tutorial course, how you're able to launch a campaign, which is really getting the deployment aspect. And then finally with, uh, the fifth tutorial and the finalist, how you're able to start to measure, measure your outcomes. So we're seeing this as kind of, you know, five very discrete steps, um, to kind of give you a full end to end view of kind of all the capabilities that are being brought into the Skywalker release for the summer.  And this is part of, um, what you're seeing here as Brandon of our own, um, cognitive university, which as I mentioned, where we can do is we can take part of that and we can have that fit into a broader workout West university, which is there to evolve, you know, the masses across a bunch of different personas, um, and any questions on, on, um, the training. ","Join an appointment, or being able to provide a reminder to an appointment is not that complex but at least provide intuitive ways of how we’re able to integrate well known systems that are making good. tutorials are broken up from crank campaigns being able to add missions. That are there to execute on top of that campaign.tutorial three is all around how you're able to test how well your campaign was constructed. And then finally the fifth tutorial is how you're able to start to measure your outcomes."
"Uh, that meant I just stopped. Got it. Got it.  Yeah. And to be clear that this was framed, I should have written this down on the top. This was framed with a, with a milestone, one being the 42 days, uh, with, with some ideas to, to put on there, but there's certainly overarching. There's definitely a overarching goals that do we need to make sure get incorporated into the, into the grand mission. And, uh, I can also work on a set of, of, uh, slides and so on that we can collaborate on to help cover the, the larger set of goals that we can use as a, as a shared, uh, as, as, as a shared plan is like, where, where do we want to go? W what do we want to do? So we're all on the same, on the same page. And we believe we have an understanding as to what is we're trying to do. Uh, but I, I specifically try to focus this one specifically on, on milestone milestone one, and I completely agree with the API integration part. That's, that's something that we can not overlook as well is how do we actually integrate this into the, into the broader system? So thank you for pointing that out as well.  Okay. ",The milestone is 42 days and we need to incorporate some overarching goals into the grand mission. I agree with the API integration part and we can not overlook it and we need to work on how to actually integrate this into the broader system?
Or knowledge repository for the enterprise so that we can. ,Hive will create knowledge repository to work upon
"Um, pick the pick, pick the, the, the, you know, let's not,  It's not tackled the hardest problem because the hardest problem,  You know, w w will take years to solve and we'll fail, could fail. Uh, whereas let's pick a problem. That's hard enough that we show that we have utility. ",Lets pick a problem which is hard enough to show that we have utility rather than the hardest problem.
